entry_type,transaction_date,category,amount
expense,2025-10-01,rent,1500
expense,2025-10-01,hygiene,93
expense,2025-10-03,subscriptions,53.54
expense,2025-10-03,groceries,355
expense,2025-10-05,telecom,119.9
expense,2025-10-06,cleaning,66
expense,2025-10-07,transport,72
expense,2025-10-07,gf_dates,243
expense,2025-10-08,fast_food,55
expense,2025-10-09,fast_food,75
expense,2025-10-10,groceries,338
expense,2025-10-11,utilities,166.79
expense,2025-10-11,pets,108
expense,2025-10-11,pharmacy,68.18
expense,2025-10-17,groceries,226
expense,2025-10-20,transport,27
expense,2025-10-23,transport,60
expense,2025-10-25,groceries,267
income,2025-10-28,salary,4800
expense,2025-11-01,rent,1500
expense,2025-11-03,groceries,415
expense,2025-11-04,fast_food,51
expense,2025-11-05,subscriptions,55.18
expense,2025-11-07,telecom,119.9
expense,2025-11-10,transport,89
expense,2025-11-12,pets,96
expense,2025-11-12,gf_dates,124
expense,2025-11-13,groceries,236
expense,2025-11-15,utilities,195.13
expense,2025-11-15,hygiene,84
income,2025-11-16,freelance,658
expense,2025-11-19,groceries,386
expense,2025-11-22,transport,40
expense,2025-11-23,transport,30
expense,2025-11-26,groceries,335
expense,2025-11-28,fast_food,43
income,2025-11-28,salary,4800
expense,2025-12-01,rent,1500
expense,2025-12-02,transport,77
expense,2025-12-03,subscriptions,50.23
expense,2025-12-04,groceries,253
expense,2025-12-07,telecom,119.9
expense,2025-12-07,transport,84
expense,2025-12-09,pets,94
expense,2025-12-11,utilities,204.10
expense,2025-12-11,fast_food,42
expense,2025-12-13,groceries,274
expense,2025-12-13,transport,42
income,2025-12-15,bonus,1200
expense,2025-12-16,hygiene,68
expense,2025-12-16,gf_dates,2600
expense,2025-12-18,groceries,357
expense,2025-12-19,fast_food,78
expense,2025-12-21,cleaning,56
expense,23/12/2025,groceries,310
expense,2025-12-24,groceries,266
expense,2025-12-24,gf_dates,180
income,2025-12-28,salary,4800
expense,2026-01-01,rent,1500
expense,2026-01-01,fast_food,67
expense,2026-01-03,groceries,371
expense,2026-01-04,fast_food,67
expense,2026-01-04,gf_dates,137
expense,2026-01-05,subscriptions,40.48
expense,2026-01-08,telecom,119.9
expense,2026-01-10,groceries,251
expense,2026-01-11,utilities,201.14
expense,2026-01-13,transport,50
expense,2026-01-15,transport,59
expense,2026-01-18,groceries,378
expense,2026-01-18,transport,81
expense,2026-01-18,hygiene,93
income,2026-01-19,freelance,857
expense,2026-01-25,pets,144
expense,2026-01-27,groceries,339
income,2026-01-28,salary,4800
expense,2026-02-01,rent,1500
expense,2026-02-01,fast_food,63
expense,2026-02-05,groceries,414
expense,2026-02-05,groceries,414
expense,2026-02-05,transport,49
expense,2026-02-06,telecom,119.9
expense,2026-02-06,subscriptions,35.08
expense,2026-02-06,transport,60
expense,2026-02-08,gf_dates,99
expense,2026-02-11,groceries,322
expense,2026-02-12,cleaning,75
